"id";"niveau";"matiere";"theme";"chapitre";"ordre";"difficulte";"titre";"contexte";"question";"mots_cles";"correction";"xp"
"T1-01";"premiere";"sciences de gestion";"Thème 1 : De l'individu à l'acteur";"L'individu et le groupe";"1";"1";"Action collective et organisation";"Général";"Définir ce qu'est une action collective organisée et préciser le rôle de l'organisation.";"action collective | organisation | but commun | coordination";"Une action collective organisée se forme lorsque plusieurs individus se regroupent pour atteindre un but commun qu'ils ne pourraient pas atteindre seuls. L'organisation (entreprise, association, administration) fournit le cadre juridique, matériel et hiérarchique pour coordonner cette action collective dans le temps.";"10"
"T1-02";"premiere";"sciences de gestion";"Thème 1 : De l'individu à l'acteur";"L'individu et le groupe";"2";"1";"Qualification et compétence";"Général";"Quelle est la différence entre la qualification et la compétence d'un individu ?";"qualification | compétence | savoir-faire | diplôme";"La qualification repose sur la formation initiale, les diplômes obtenus et l'expérience reconnue (souvent liée à une grille tarifaire conventionnelle). La compétence est plus dynamique : c'est la capacité d'un individu à mobiliser des savoirs (connaissances), des savoir-faire (pratiques) et des savoir-être (comportements) pour accomplir une tâche précise en situation réelle de travail.";"10"
"T1-03";"premiere";"sciences de gestion";"Thème 1 : De l'individu à l'acteur";"Les phénomènes relationnels";"3";"1";"Communication interne";"Général";"Distinguer la communication formelle de la communication informelle au sein d'une organisation.";"communication formelle | communication informelle | hiérarchie | affinités";"La communication formelle est officielle, planifiée et suit les voies hiérarchiques prévues par l'organigramme (ex: une réunion de service, une note de service). La communication informelle est spontanée, non planifiée et repose sur les affinités personnelles (ex: échanges à la machine à café). L'informel favorise la cohésion mais peut générer des rumeurs.";"10"
"T1-04";"premiere";"sciences de gestion";"Thème 1 : De l'individu à l'acteur";"Les phénomènes relationnels";"4";"1";"Culture d'entreprise";"Général";"Qu'est-ce que la culture d'entreprise et quels sont ses éléments constitutifs ?";"culture d'entreprise | valeurs | normes | rituels";"La culture d'entreprise est l'ensemble des valeurs, croyances, normes, mythes et rituels partagés par les membres d'une organisation. Elle crée un sentiment d'appartenance, soude le collectif et différencie l'entreprise de ses concurrents.";"10"
"T1-05";"premiere";"sciences de gestion";"Thème 1 : De l'individu à l'acteur";"Les phénomènes relationnels";"5";"1";"Le leadership";"Général";"Définir le leadership et expliquer son impact sur le groupe.";"leadership | influence | motivation | performance";"Le leadership est la capacité d'un individu (le leader) à influencer le comportement et les attitudes des autres membres du groupe pour les fédérer autour d'un objectif commun, sans forcément utiliser l'autorité hiérarchique formelle. Un bon leadership favorise la motivation et la performance collective.";"10"
"T1-06";"premiere";"sciences de gestion";"Thème 1 : De l'individu à l'acteur";"Évaluation et rétribution";"6";"3";"Calcul du coût global du travail";"L'entreprise de menuiserie ""BoisDesign"" emploie M. Karim comme chef d'atelier. Son salaire brut mensuel est de 2 500 €. Les cotisations salariales s'élèvent à 22% du salaire brut. Les cotisations patronales s'élèvent à 42% du salaire brut.";"Calculez : a) Le salaire net versé à M. Karim. b) Le coût global du travail supporté par l'entreprise ""BoisDesign"" pour ce salarié.";"coût du travail | salaire net | cotisations patronales | charges";"a) Salaire net : C'est le salaire brut moins les cotisations salariales. Calcul des cotisations salariales : 2 500 x 0,22 = 550 €. Salaire net = 2 500 - 550 = 1 950 €. (C'est ce que perçoit le salarié).
b) Coût global du travail : Pour l'employeur, le coût correspond au salaire brut PLUS les charges patronales. Calcul des cotisations patronales : 2 500 x 0,42 = 1 050 €. Coût global = Salaire brut (2 500) + Cotisations patronales (1 050) = 3 550 €. L'employeur débourse 3 550 € pour verser un net de 1 950 € au salarié.";"30"
"T1-07";"premiere";"sciences de gestion";"Thème 1 : De l'individu à l'acteur";"Les phénomènes relationnels";"7";"3";"Analyse des interactions";"Lors d'une réunion chez ""MarketWeb"", la directrice, Mme Martin, impose ses décisions sans consulter son équipe de graphistes, utilisant un ton sec et autoritaire.";"Analysez cette situation de communication et ses effets potentiels.";"communication descendante | autoritaire | motivation | climat social";"Contexte : Communication formelle descendante. Style : Autoritaire (leadership directif). Effets potentiels : Si ce style peut être efficace en situation d'urgence, à long terme, il risque de générer de la frustration, une baisse de motivation, un manque de créativité des graphistes, voire un climat conflictuel ou un fort taux de rotation du personnel (turnover).";"30"
"T1-08";"premiere";"sciences de gestion";"Thème 1 : De l'individu à l'acteur";"Les phénomènes relationnels";"8";"3";"Gestion des conflits";"Deux commerciaux de l'agence ""AutoVente"", Marc et Sophie, se disputent violemment l'attribution d'un client très rentable.";"Qualifiez ce type de conflit et proposez une méthode de résolution.";"conflit d'intérêt | arbitrage | médiation | résolution";"Il s'agit d'un conflit d'intérêt (ou conflit d'objectifs) basé sur la répartition d'une ressource rare (la commission sur la vente). Résolution : Le manager doit recourir à l'arbitrage (imposer une règle de répartition, par exemple en fonction du secteur géographique de chacun) ou à la médiation (les réunir pour qu'ils trouvent un compromis ensemble, comme se partager la commission s'ils travaillent en binôme).";"30"
"T1-09";"premiere";"sciences de gestion";"Thème 1 : De l'individu à l'acteur";"Conditions de travail";"9";"5";"Cas d'entreprise ""TechSolutions""";"Cette entreprise de services informatiques subit une baisse de productivité de 15% depuis six mois. Les arrêts maladie ont doublé. Les salariés se plaignent d'objectifs inatteignables et de l'absence de reconnaissance de leur hiérarchie.";"À l'aide de vos connaissances, montrez comment les conditions de travail influencent le comportement des acteurs et la performance de l'organisation.";"conditions de travail | absentéisme | performance | reconnaissance";"Identification du problème : Dégradation du climat social chez TechSolutions (absentéisme, baisse de productivité) liée à de mauvaises conditions de travail psychosociales (stress, manque de reconnaissance).
Lien Conditions de travail / Comportement : Les individus réagissent à leur environnement. Des objectifs irréalistes génèrent du stress (charge mentale). L'absence de reconnaissance touche l'estime de soi et réduit la motivation au travail. Le comportement se modifie : désengagement, absentéisme (maladie).
Impact sur l'organisation : L'organisation est une action collective. Si les acteurs se désengagent, le collectif s'effrite. Les coûts cachés explosent (remplacement des malades, retards), ce qui détruit la performance globale de ""TechSolutions"" (chute de la productivité de 15%).
Conclusion : L'activité humaine est une ressource à préserver. La direction doit impérativement revoir ses modes d'évaluation, fixer des objectifs concertés (méthode participative) et instaurer des gratifications (financières ou symboliques) pour restaurer la motivation.";"50"
"T1-10";"premiere";"sciences de gestion";"Thème 1 : De l'individu à l'acteur";"L'individu et le groupe";"10";"5";"Question de réflexion";"Général";"L'intégration de la personnalité et des émotions des salariés dans la gestion des ressources humaines est-elle un atout ou une contrainte pour l'organisation ?";"personnalité | émotions | atout | contrainte | intelligence émotionnelle";"C'est à la fois une contrainte (car gérer des individus complexes, avec leurs sautes d'humeur et leurs sensibilités demande du temps, des compétences managériales fortes et expose l'organisation à des conflits interpersonnels chronophages) et un atout majeur (car l'enthousiasme, l'empathie, ou le trait de personnalité ""créatif"" d'un individu sont des moteurs d'innovation et de cohésion). Un manager qui sait mobiliser l'intelligence émotionnelle de ses équipes obtiendra un engagement bien supérieur à une gestion purement comptable et tayloriste des ressources humaines.";"50"
